0   2000
2.81606   2.44397   2.99189
1.51049   2.81334   5.78026
2.39948   0.876553   6.00764
2.42016   2.94999   4.13335
0.438483   0.216055   5.96354
0.854317   2.57237   1.36198
5.632   2.91681   2.65818
5.09436   2.88556   0.0275462
0.544409   0.239877   2.68844
4.61306   2.0944   0.129775
2.2027   1.65009   5.9625
8.00752   2.79034   5.73071
1.3411   2.93549   5.76795
3.93241   0.43645   5.94083
6.65687   0.234735   5.74153
5.27987   2.81117   4.93616
1.56012   1.24247   5.56708
8.22139   0.367181   1.64279
1.99922   2.09775   3.18215
0.292422   0.839158   5.69149
2.48728   2.71685   0.29709
5.83535   0.421543   2.77
1.77042   2.65853   4.80595
1.06876   0.519007   4.39997
0.813736   1.67456   5.9508
0.86212   2.72913   5.05626
2.30058   0.435518   4.8418
1.90755   0.274995   3.07421
0.773475   1.09505   0.584212
1.1616   0.280341   0.316482
5.40997   2.44417   1.49106
0.270866   2.67081   3.05127
1.9116   0.484815   2.15806
1.69307   0.219803   3.26162
3.33717   2.5345   0.454157
0.363259   2.89813   5.07104
1.49135   2.57698   0.470366
1.55124   2.3724   3.82791
0.878406   1.97221   5.52572
3.07951   2.21907   4.27685
7.77186   2.31629   4.58656
8.6893   0.337361   3.80308
1.30438   0.385841   4.25996
6.34247   0.358085   5.97643
1.30679   2.69741   3.71098
3.33614   1.76379   2.39347
0.463215   0.184806   4.58002
0.965025   2.44435   4.67474
4.73619   2.75402   1.04379
8.1599   2.87082   3.79848
5.97689   1.23236   1.32648
3.05176   0.328756   2.88346
0.841235   1.30275   3.97255
1.63833   0.261953   0.105994
0.990846   2.61561   5.00406
5.50523   2.72415   4.14017
0.205375   0.512839   2.66555
4.75374   0.457144   4.91873
0.461824   2.89495   5.61134
2.55832   0.515636   4.33299
3.9959   0.363699   5.56618
9.7634   0.394838   0.0121515
0.937798   0.432659   0.818016
1.65699   0.539677   1.91749
0.315841   2.82174   2.49786
6.28244   0.565469   1.49322
9.62261   2.57731   3.55925
7.89739   0.530971   5.82981
1.44142   1.90248   1.88397
7.14223   0.348065   4.02515
0.72959   2.92645   2.1549
0.339053   0.479549   4.57285
3.94972   2.85561   3.70885
3.96512   2.61471   0.395393
0.762076   0.860333   0.843845
